"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drafted","Pos_ADP"
11.03,"robert meachem","WR","NO",122.5,14.8,7.07,13.1,388,45
11.04,"ted ginn jr","WR","MIA",124.2,18.1,5.12,14.09,740,46
11.05,"green bay defense","DEF","GB",125,15.5,1.09,14.02,130,8
11.05,"adam vinatieri","PK","IND",125.3,18.3,2.11,14.03,187,1
11.05,"sidney rice","WR","MIN",125.3,13.4,7.04,13.1,195,47
11.07,"jason campbell","QB","WAS",127.1,37.7,2.02,15.05,171,21
11.07,"jon kitna","QB","DET",127.4,14.3,4.11,14.01,353,22
11.09,"kurt warner","QB","ARI",129.3,20.8,6.06,15.12,866,23
11.1,"isaac bruce","WR","SF",130.4,13.9,7.07,14.01,167,48
11.1,"tony scheffler","TE","DEN",130.5,22.3,7.01,15.08,385,12
11.12,"devin hester","WR","CHI",132.4,16.3,7.01,15.05,287,49
12.01,"bobby engram","WR","SEA",133.1,15.9,8.03,14.04,106,50
12.02,"jacksonville defense","DEF","JAX",134.2,12.1,9.04,14.1,223,9
12.02,"ladell betts","RB","WAS",134.3,15.2,7.12,14.1,117,45
12.03,"owen daniels","TE","HOU",135,22,6.12,15.12,649,13
12.03,"nick folk","PK","DAL",135.1,14.6,6.02,14.11,323,2
12.06,"alge crumpler","TE","TEN",137.7,21.2,8.02,15.07,318,14
12.06,"pierre thomas","RB","NO",138,16,7.02,15.07,121,46
12.07,"steve slaton","RB","HOU",139.1,19.7,5.07,15.12,595,47
12.08,"stephen gostkowski","PK","NE",140.5,14.2,7.08,14.07,152,3
12.09,"james hardy","WR","None",141.3,15.2,8.04,14.11,182,51
12.1,"desean jackson","WR","PHI",142,20.9,7.03,15.12,912,52
12.11,"maurice morris","RB","SEA",142.8,19.6,3.1,15.11,441,48
12.12,"carnell williams","RB","TB",143.5,18.4,8.03,15.1,81,49
12.12,"muhsin muhammad","WR","CAR",143.6,16.4,8.04,15.06,163,53
13.03,"lamont jordan","RB","NE",147.4,16.2,9.04,15.07,118,50
13.05,"seattle defense","DEF","SEA",148.8,14.2,9.07,15.12,547,10
13.05,"mason crosby","PK","GB",149,18.6,2.06,15.03,109,4
13.05,"josh brown","PK","LAR",149.3,10.9,9.06,14.12,79,5
13.06,"kevin walter","WR","HOU",149.8,21.8,8.1,15.12,77,54
13.06,"limas sweed","WR","PIT",149.8,15.7,8.12,15.03,71,55
13.06,"leon washington","RB","NYJ",150,14.2,9.04,15.12,148,51
13.07,"chris henry","WR","CIN",150.7,16.4,9.01,15.11,197,56
13.07,"l.j. smith","TE","PHI",151,23.2,6.03,15.12,185,15
13.07,"t.j. duckett","RB","SEA",151,23.8,7.06,15.12,65,52
13.09,"darrell jackson","WR","DEN",153,13.5,10.01,15.12,69,57
13.1,"brandon jackson","RB","GB",153.9,20.7,8.07,15.12,70,53
13.1,"baltimore defense","DEF","BAL",153.9,12.5,11.03,15.12,95,11
