"Pick","Name","Pos","Team","Overall","Std..Def","High","Low","Times.Drafted","Pos_ADP"
11.01,"james white","RB","NE",121.1,13.8,3.11,12.12,366,47
11.02,"la chargers defense","DEF","LAC",122.2,8.8,8.05,14.04,198,5
11.05,"kenny golladay","WR","DET",124.5,10.7,6.06,12.12,294,49
11.05,"allen hurns","WR","DAL",125,10.3,7.03,13.01,267,50
11.05,"jared goff","QB","LAR",125.2,10.1,6.1,13.07,323,16
11.07,"john brown","WR","BAL",126.7,10.3,7.08,13.02,282,51
11.07,"ty montgomery","RB","BAL",127.5,14,7.03,15.02,211,48
11.08,"alfred morris","RB","SF",127.6,31.9,3.01,17.03,427,49
11.08,"houston defense","DEF","HOU",128.4,7.5,9.1,13.04,173,6
11.09,"george kittle","TE","SF",128.7,15.9,6.12,15.02,572,12
11.09,"duke johnson","RB","CLE",129,13.6,5.1,15.08,328,50
11.1,"baltimore defense","DEF","BAL",129.9,8.8,9.04,13.07,157,7
11.12,"michael gallup","WR","DAL",132,9.4,9.03,14.12,274,52
12.01,"cameron meredith","WR","NO",132.5,10.6,7.08,14.06,180,53
12.01,"marcus mariota","QB","TEN",133.5,9.9,8.08,14.05,213,17
12.02,"jack doyle","TE","IND",133.7,19,4.12,15.05,561,13
12.03,"alex smith","QB","WAS",134.8,10.6,8.12,14.08,236,18
12.03,"keelan cole","WR","JAX",135,15.3,6.03,15.1,445,54
12.03,"bilal powell","RB","NYJ",135.4,15.7,7.1,15.11,502,51
12.05,"tyler lockett","WR","SEA",136.9,11.5,8.09,14.08,242,55
12.05,"derek carr","QB","LV",137.1,12,8.03,15.02,188,19
12.08,"denver defense","DEF","DEN",139.7,10.2,10.01,14.12,183,8
12.08,"devante parker","WR","MIA",140.4,13.5,7.11,15.06,162,56
12.09,"doug martin","RB","LV",141.1,13.9,9.03,15.09,236,52
12.1,"matt breida","RB","SF",141.7,22.5,1.01,15.12,503,53
12.11,"devontae booker","RB","DEN",142.8,15.3,8.06,15.06,283,54
13.01,"greg zuerlein","PK","LAR",144.5,13.7,1.09,14.05,656,1
13.01,"new orleans defense","DEF","NO",145.5,11.5,11.01,15.12,199,9
13.02,"chris godwin","WR","TB",146.2,17.5,6.02,15.12,228,57
13.03,"tyler eifert","TE","CIN",146.9,19.9,6.01,16.04,521,14
13.03,"stephen gostkowski","PK","NE",147,13.2,6.06,14.04,362,2
13.03,"jordan wilkins","RB","IND",147.4,15.8,9.04,15.12,360,55
13.05,"mohamed sanu","WR","ATL",149.3,31.6,6.1,19.01,28,58
13.06,"anthony miller","WR","CHI",150.4,13.7,10.02,15.11,177,59
13.07,"rob kelley","RB","WAS",151.2,19.5,8.06,16.08,101,56
13.08,"justin tucker","PK","BAL",151.5,11.2,4.01,14.07,216,3
13.08,"geronimo allison","WR","GB",151.7,13.7,8.01,15.06,223,60
13.08,"dak prescott","QB","DAL",151.7,16.5,2.12,16.06,191,20
13.1,"o.j. howard","TE","TB",153.6,20.4,7.11,16.02,271,15
13.1,"john ross","WR","CIN",154.2,17.4,5.1,15.12,298,61
13.11,"jameis winston","QB","TB",154.8,13.7,9.01,15.11,178,21
13.11,"james conner","RB","PIT",154.9,17.2,5.03,16.06,320,57
13.11,"giovani bernard","RB","CIN",155.3,17.8,8.1,16.05,252,58
13.12,"eric ebron","TE","IND",155.7,19.3,9.05,16.02,87,16
13.12,"donta foreman","RB","HOU",155.8,19.9,8.02,16.03,92,59
13.12,"eli manning","QB","NYG",156.1,16.1,3.08,15.12,163,22
14.01,"josh doctson","WR","WAS",156.5,15.2,9.06,16.03,160,62
14.01,"austin hooper","TE","ATL",157.1,17.5,10.04,15.12,35,17
14.02,"benjamin watson","TE","NO",157.7,20.2,10.07,15.12,26,18
14.02,"donte moncrief","WR","JAX",158.4,18.7,10.03,16.1,34,63
14.02,"tyrod taylor","QB","CLE",158.4,32.3,1.11,16.03,36,23
14.03,"carolina defense","DEF","CAR",158.7,11.6,10.11,15.12,266,10
14.03,"tj yeldon","RB","JAX",159.1,16.9,11.06,15.12,67,60
14.03,"mitchell trubisky","QB","CHI",159.2,14.2,9.07,16.06,86,24
14.04,"wil lutz","PK","NO",159.9,5,12.03,15.11,136,4
14.04,"dede westbrook","WR","JAX",160.1,18.4,1.11,15.11,144,64
14.04,"austin ekeler","RB","LAC",160.3,16.8,9.08,16.1,136,61
14.04,"andy dalton","QB","CIN",160.4,15.1,10.05,15.12,68,25
14.05,"chicago defense","DEF","CHI",160.7,12.8,11.05,17.1,158,11
14.05,"john kelly","RB","LAR",161.3,13.7,12.03,16.08,35,62
14.06,"martavis bryant","WR","LV",162,13,11.04,15.12,115,65
14.06,"frank gore","RB","MIA",162.3,17.5,9.1,16.1,66,63
14.07,"danny amendola","WR","MIA",162.6,16.7,9.03,16.02,57,66
14.07,"cleveland defense","DEF","CLE",162.8,29.1,1.12,16.1,32,12
14.07,"new england defense","DEF","NE",162.8,11.8,7.1,15.12,288,13
14.07,"ricky seals-jones","TE","ARI",163,14.3,11.05,16.01,58,19
14.08,"tyrell williams","WR","LAC",163.9,18.4,9.03,16.08,64,67
14.08,"pittsburgh defense","DEF","PIT",163.9,14.2,3.04,16.06,245,14
14.08,"spencer ware","RB","KC",164.2,16.6,10.03,17.01,86,64
14.08,"jake elliott","PK","PHI",164.4,8.6,10.1,15.12,131,5
14.08,"case keenum","QB","DEN",164.4,12.3,11.12,16.09,44,26
14.08,"jeremy hill","RB","NE",164.4,14.5,11.06,15.12,20,65
14.09,"mike gesicki","TE","MIA",164.5,17.4,9.03,16.03,28,20
14.09,"courtland sutton","WR","DEN",164.7,15,10.11,16.12,82,68
14.1,"sam darnold","QB","NYJ",165.5,12.6,11.12,15.12,21,27
14.1,"christian kirk","WR","ARI",166.1,11.2,12.06,15.12,45,69
14.1,"chris boswell","PK","PIT",166.3,14.2,4.09,15.12,123,6
14.1,"kansas city defense","DEF","KC",166.4,7.6,13.07,15.11,31,15
14.1,"matt bryant","PK","ATL",166.5,7.1,13.04,16.07,132,7
14.11,"atlanta defense","DEF","ATL",166.5,8.6,13.01,16.12,121,16
14.11,"harrison butker","PK","KC",167.1,7.6,12.05,16.07,129,8
14.11,"arizona defense","DEF","ARI",167.4,10.9,12.03,16.02,75,17
14.12,"daniel carlson","PK","LV",168.2,27.4,1.02,16.07,85,9
14.12,"rishard matthews","WR","NYJ",168.5,11.2,11.03,16.1,52,70
15.02,"mason crosby","PK","GB",169.8,8.1,9.02,16.02,135,10
15.02,"matt prater","PK","DET",170.3,5,13.07,16.03,160,11
15.03,"detroit defense","DEF","DET",170.9,7.2,13.06,15.11,31,18
15.03,"dan bailey","PK","MIN",171.4,6.5,12.04,16.05,106,12
15.04,"sebastian janikowski","PK","SEA",171.6,4.5,14.06,15.11,25,13
15.04,"brandon mcmanus","PK","DEN",171.7,3.7,14.06,15.11,37,14
15.04,"robbie gould","PK","SF",172.2,4.9,13.1,16.03,143,15
15.05,"adam vinatieri","PK","IND",172.7,5.2,14.01,16.02,78,16
15.07,"graham gano","PK","CAR",175.2,5.7,14.07,17.07,46,17
