,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
244,Marcus Pollard\PollMa00,SEA,TE,35,14,10,0,0,0,0,0,0,0,,0,35,28,273,9.75,2,0,,2,,,41,67.3,70.3,53.3,,30,
245,Cadillac Williams\WillCa02,TAM,RB,25,4,4,0,0,0,0,0,54,208,3.85,3,5,3,17,5.67,0,2,2,3,,,41,39.5,44.5,38.0,,71,
246,Jason Avant\AvanJa00,PHI,WR,24,15,5,0,0,0,0,0,1,1,1.00,0,33,23,267,11.61,2,0,,2,,,39,61.8,64.8,50.3,,92,
247,Michael Turner\TurnMi00,SDG,RB,25,16,0,0,0,0,0,0,71,316,4.45,1,7,4,16,4.00,0,1,1,1,,,39,41.2,45.2,39.2,,73,
248,J.J. Arrington\ArriJ.00,ARI,RB,24,16,0,0,0,0,0,0,26,78,3.00,0,39,29,241,8.31,1,0,,1,,,38,66.9,69.9,52.4,,74,
249,Mike Sellers\SellMi00,WAS,RB,32,14,12,0,0,0,0,0,26,78,3.00,2,24,17,117,6.88,1,1,,3,,,38,54.5,57.5,46.0,,75,
250,Visanthe Shiancoe\ShiaVi00,MIN,TE,27,16,15,0,0,0,0,0,0,0,,0,43,27,323,11.96,1,1,1,1,,,38,63.3,67.3,49.8,,31,
251,Jeff Webb\WebbJe00,KAN,WR,25,16,2,0,0,0,0,0,1,5,5.00,0,57,28,313,11.18,1,2,1,1,,,38,63.8,67.8,49.8,,93,
252,Daniel Graham\GrahDa00,DEN,TE,29,15,15,0,0,0,0,0,0,0,,0,33,24,246,10.25,2,0,,2,,,37,60.6,63.6,48.6,,32,
253,Sam Hurd\HurdSa00,DAL,WR,22,16,2,0,0,0,0,0,0,0,,0,37,19,314,16.53,1,0,,1,,,37,56.4,59.4,46.9,,94,
254,Troy Smith\SmitTr02,BAL,QB,23,4,2,40,76,452,2,0,12,54,4.50,1,0,0,0,,0,3,2,1,,,37,33.5,38.5,33.5,,51,
255,Lorenzo Booker\BookLo00,MIA,RB,23,7,1,0,0,0,0,0,28,125,4.46,0,36,28,237,8.46,0,0,,0,,,36,64.2,70.2,50.2,,76,
256,Justin Peelle\PeelJu00,MIA,WR,28,16,10,0,0,0,0,0,0,0,,0,47,29,228,7.86,2,0,,2,,,35,63.8,66.8,49.3,,95,
257,Heath Evans\EvanHe00,NWE,RB,29,16,1,0,0,0,0,0,34,121,3.56,3,6,4,43,10.75,0,0,,3,,,34,38.4,41.4,36.4,,77,
258,A.J. Feeley\FeelA.00,PHI,QB,30,3,2,59,103,681,5,8,7,23,3.29,0,0,0,0,,0,1,,0,,,34,33.5,44.5,41.5,,52,
259,Michael Gaines\GainMi00,BUF,TE,27,15,14,0,0,0,0,0,0,0,,0,35,25,215,8.60,2,0,,2,,,34,58.5,61.5,46.0,,33,
260,Eric Moulds\MoulEr00,TEN,WR,34,16,8,0,0,0,0,0,0,0,,0,52,32,342,10.69,0,0,,0,,,34,66.2,69.2,50.2,,96,
261,David Carr\CarrDa00,CAR,QB,28,6,4,73,136,635,3,5,17,59,3.47,0,0,0,0,,0,1,,0,,,33,33.3,41.3,38.3,,53,
262,Keary Colbert\ColbKe00,CAR,WR,25,12,8,0,0,0,0,0,0,0,,0,69,32,332,10.38,0,1,,0,,,33,65.2,68.2,49.2,,97,
263,Troy Williamson\WillTr01,MIN,WR,24,11,8,0,0,0,0,0,2,29,14.50,0,39,18,240,13.33,1,0,,1,,,33,50.9,53.9,41.9,,98,
264,Michael Clayton\ClayMi00,TAM,WR,25,14,4,0,0,0,0,0,5,22,4.40,0,40,22,301,13.68,0,1,,0,,,32,54.3,57.3,43.3,,100,
265,Keenan McCardell\McCaKe00,WAS,WR,37,10,1,0,0,0,0,0,0,0,,0,31,22,256,11.64,1,0,,1,,,32,53.6,56.6,42.6,,101,
266,Matt Moore\MoorMa01,CAR,QB,23,9,3,63,111,730,3,5,3,5,1.67,0,0,0,0,,0,2,,0,,,32,31.7,39.7,36.7,,54,
267,Darren Sproles\SproDa00,SDG,RB,24,15,0,0,0,0,0,0,37,164,4.43,2,12,10,31,3.10,0,1,,4,,,32,53.5,56.5,48.5,,78,
268,Cedrick Wilson\WilsCe00,PIT,WR,29,16,1,0,0,0,0,0,2,37,18.50,0,30,18,207,11.50,1,0,,1,,1,32,50.4,53.4,41.4,,99,
269,Tatum Bell\BellTa00,DET,RB,26,5,5,0,0,0,0,0,44,182,4.14,1,21,14,63,4.50,0,1,1,1,,,31,42.5,46.5,35.5,,80,
270,Bubba Franks\FranBu00,GNB,TE,29,8,1,0,0,0,0,0,0,0,,0,32,18,132,7.33,3,0,,3,,,31,49.2,52.2,40.2,,34,
271,Marvin Harrison\HarrMa00,IND,WR,35,5,5,0,0,0,0,0,0,0,,0,32,20,247,12.35,1,0,,1,,,31,50.7,53.7,40.7,,102,
272,Vernand Morency\MoreVe00,GNB,RB,27,13,0,0,0,0,0,0,29,108,3.72,0,39,30,199,6.63,0,1,,0,,,31,60.7,66.7,45.7,,79,
273,Koren Robinson\RobiKo00,GNB,WR,27,9,1,0,0,0,0,0,1,5,5.00,0,34,21,241,11.48,1,0,,1,,,31,51.6,54.6,41.1,,103,
274,Quinn Sypniewski\SypnQu00,BAL,TE,25,15,9,0,0,0,0,0,0,0,,0,52,34,246,7.24,1,1,1,1,,,31,62.6,66.6,45.6,,35,
