,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
458,Brian Clark\ClarBr00,2TM,WR,24,5,0,0,0,0,0,0,0,0,,0,6,4,23,5.75,0,2,2,0,,,2,2.3,4.3,0.3,,165,
459,Justin Green\GreeJu00,BAL,RB,25,15,0,0,0,0,0,0,0,0,,0,2,2,16,8.00,0,0,,0,,,2,3.6,3.6,2.6,,143,
460,Alex Haynes\HaynAl00,CAR,RB,25,10,0,0,0,0,0,0,3,3,1.00,0,3,3,14,4.67,0,0,,0,,,2,4.7,4.7,3.2,,142,
461,Dan Kreider\KreiDa00,PIT,RB,30,10,4,0,0,0,0,0,1,2,2.00,0,3,1,15,15.00,0,0,,0,,,2,2.7,2.7,2.2,,141,
462,Jerome Mathis\MathJe00,HOU,WR,24,3,0,0,0,0,0,0,0,0,,0,1,1,15,15.00,0,0,,1,,,2,8.5,8.5,8.0,,169,
463,Chris McFoy\McFoCh00,OAK,WR,24,3,0,0,0,0,0,0,0,0,,0,2,1,19,19.00,0,0,,0,,,2,2.9,2.9,2.4,,167,
464,Kassim Osgood*\OsgoKa00,SDG,WR,27,16,0,0,0,0,0,0,0,0,,0,3,2,23,11.50,0,0,,0,,,2,4.3,4.3,3.3,,166,
465,Tab Perry\PerrTa00,CIN,WR,25,2,1,0,0,0,0,0,1,9,9.00,0,5,1,7,7.00,0,1,1,0,,,2,0.6,1.6,0.1,,168,
466,Brady Quinn\QuinBr00,CLE,QB,23,1,0,3,8,45,0,0,0,0,,0,0,0,0,,0,0,,0,,,2,1.8,1.8,1.8,,76,
467,Gary Russell\RussGa00,PIT,RB,21,3,0,0,0,0,0,0,7,21,3.00,0,0,0,0,,0,0,,0,,,2,2.1,2.1,2.1,,139,
468,Derek Schouman\SchoDe00,BUF,TE,22,3,1,0,0,0,0,0,0,0,,0,3,3,19,6.33,0,0,,0,,,2,4.9,4.9,3.4,,78,
469,Naufahu Tahi\TahiNa00,MIN,RB,26,10,0,0,0,0,0,0,6,15,2.50,0,1,1,7,7.00,0,0,,0,,,2,3.2,3.2,2.7,,138,
470,Andrew Walter\WaltAn00,OAK,QB,25,1,0,5,8,38,0,0,0,0,,0,0,0,0,,0,0,,0,,,2,1.5,1.5,1.5,,77,
471,Ricky Williams\WillRi00,MIA,RB,30,1,0,0,0,0,0,0,6,15,2.50,0,0,0,0,,0,1,1,0,,,2,-0.5,0.5,-0.5,,145,
472,Sam Aiken\AikeSa00,BUF,WR,27,12,0,0,0,0,0,0,0,0,,0,2,1,10,10.00,0,0,,0,,,1,2.0,2.0,1.5,,173,
473,Mike Bell\BellMi00,DEN,RB,24,5,0,0,0,0,0,0,6,3,0.50,0,1,1,7,7.00,0,1,1,0,,,1,,1.0,-0.5,,149,
474,Shaun Bodiford\BodiSh00,GNB,WR,25,6,0,0,0,0,0,0,0,0,,0,1,1,13,13.00,0,0,,0,,,1,2.3,2.3,1.8,,171,
475,Chris Davis\DaviCh03,NYJ,WR,24,2,0,0,0,0,0,0,1,3,3.00,0,1,1,3,3.00,0,0,,0,,,1,1.6,1.6,1.1,,174,
476,Darnell Dinkins\DinkDa00,CLE,TE,30,15,0,0,0,0,0,0,0,0,,0,1,1,8,8.00,0,0,,0,,,1,1.8,1.8,1.3,,86,
477,Jason Dunn\DunnJa00,KAN,TE,34,16,3,0,0,0,0,0,0,0,,0,3,2,9,4.50,0,0,,0,,,1,2.9,2.9,1.9,,84,
478,Biren Ealy\EalyBi00,TEN,WR,23,4,0,0,0,0,0,0,0,0,,0,3,1,6,6.00,0,0,,0,,,1,1.6,1.6,1.1,,175,
479,John Gilmore\GilmJo00,CHI,TE,28,15,1,0,0,0,0,0,0,0,,0,7,3,14,4.67,0,0,,0,,,1,4.4,4.4,2.9,,80,
480,Boomer Grigsby\GrigBo20,KAN,RB,26,13,1,0,0,0,0,0,0,0,,0,3,2,14,7.00,0,0,,0,,,1,3.4,3.4,2.4,,146,
481,Aaron Halterman\HaltAa00,MIA,TE,25,9,0,0,0,0,0,0,0,0,,0,3,1,7,7.00,0,0,,0,,,1,1.7,1.7,1.2,,88,
482,Verron Haynes\HaynVe00,PIT,RB,28,1,0,0,0,0,0,0,0,0,,0,2,1,12,12.00,0,0,,0,,,1,2.2,2.2,1.7,,147,
483,Jason Hill\HillJa00,SFO,WR,22,5,0,0,0,0,0,0,0,0,,0,2,1,6,6.00,0,0,,0,,,1,1.6,1.6,1.1,,176,
484,Brian Kozlowski\KozlBr00,WAS,TE,37,3,0,0,0,0,0,0,0,0,,0,1,1,5,5.00,0,0,,0,,,1,1.5,1.5,1.0,,90,
485,Ryan Krause\KrauRy00,GNB,TE,26,9,0,0,0,0,0,0,0,0,,0,2,2,11,5.50,0,0,,0,,,1,3.1,3.1,2.1,,83,
486,John Kuhn\KuhnJo00,GNB,RB,25,16,1,0,0,0,0,0,0,0,,0,3,2,7,3.50,0,0,,0,,,1,2.7,2.7,1.7,,151,
487,Brandon Lloyd\LloyBr00,WAS,WR,26,8,1,0,0,0,0,0,0,0,,0,11,2,14,7.00,0,0,,0,,,1,3.4,3.4,2.4,,170,
488,Jared Lorenzen\LoreJa00,NYG,QB,26,2,0,4,8,28,0,0,1,2,2.00,0,0,0,0,,0,0,,0,,,1,1.3,1.3,1.3,,78,
489,Reno Mahe\MaheRe00,PHI,RB,27,15,0,0,0,0,0,0,0,0,,0,1,1,11,11.00,0,2,1,0,,,1,0.1,1.1,-0.4,,148,
490,Marcus Maxwell\MaxwMa00,CIN,WR,24,5,0,0,0,0,0,0,0,0,,0,2,1,5,5.00,0,0,,0,,,1,1.5,1.5,1.0,,177,
491,Ryan Neufeld\NeufRy00,BUF,TE,32,9,1,0,0,0,0,0,0,0,,0,2,2,14,7.00,0,0,,0,,,1,3.4,3.4,2.4,,79,
492,John Owens\OwenJo00,2TM,TE,27,15,0,0,0,0,0,0,0,0,,0,3,2,13,6.50,0,0,,0,,,1,3.3,3.3,2.3,,82,
493,Richard Owens\OwenRi00,STL,RB,27,14,1,0,0,0,0,0,0,0,,0,2,1,9,9.00,0,0,,0,,,1,1.9,1.9,1.4,,150,
494,Andrew Pinnock\PinnAn00,SDG,RB,27,10,3,0,0,0,0,0,4,1,0.25,0,4,1,5,5.00,0,0,,0,,,1,1.6,1.6,1.1,,152,
495,Jason Pociask\PociJa00,NYJ,TE,24,4,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,,0,,,1,1.7,1.7,1.2,,87,
496,Isaac Smolko\SmolIs00,JAX,TE,24,6,0,0,0,0,0,0,0,0,,0,2,1,5,5.00,0,0,,0,,,1,1.5,1.5,1.0,,89,
497,Derek Stanley\StanDe00,STL,WR,22,3,0,0,0,0,0,0,1,5,5.00,0,1,0,0,,0,1,,0,,,1,0.5,0.5,0.5,,178,
498,David Thomas\ThomDa02,NWE,TE,24,2,0,0,0,0,0,0,0,0,,0,1,1,9,9.00,0,0,,0,,,1,1.9,1.9,1.4,,85,
499,Aaron Walker\WalkAa00,STL,TE,27,7,3,0,0,0,0,0,0,0,,0,3,2,13,6.50,0,0,,0,,,1,3.3,3.3,2.3,,81,
500,Matt Willis\WillMa00,BAL,WR,23,5,0,0,0,0,0,0,0,0,,0,1,1,11,11.00,0,0,,0,,,1,2.1,2.1,1.6,,172,
501,Rich Alexis\AlexRi00,STL,,26,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,172,
502,Charles Ali\AlixCh00,CLE,,23,13,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,173,
503,Courtney Anderson\AndeCo00,2TM,,27,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,113,
504,Billy Bajema\BajeBi00,SFO,,25,14,2,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,104,
505,Darian Barnes\BarnDa00,NYJ,,27,5,3,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,5,
506,Todd Bouman\BoumTo00,STL,,35,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,81,
507,Jamaal Branch\BranJa00,NOR,,26,4,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,171,
508,Troy Brown\BrowTr00,NWE,,36,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,1,0,,,,-2.0,-1.0,-2.0,,184,
509,Mark Bruener\BrueMa00,HOU,,35,14,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,96,
510,Dan Campbell\CampDa00,DET,TE,31,2,1,0,0,0,0,0,0,0,,0,1,1,1,1.00,0,0,,0,,,,1.1,1.1,0.6,,93,
511,Rock Cartwright\CartRo01,WAS,RB,28,15,0,0,0,0,0,0,2,0,0.00,0,0,0,0,,0,0,,0,,,,,,,,174,
512,Scott Chandler\ChanSc00,SDG,,22,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,118,
513,Brad Cieslak\CiesBr00,BUF,,25,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,107,
514,Casey Cramer\CramCa00,TEN,,25,5,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,175,
515,Zack Crockett\CrocZa00,TAM,RB,35,1,0,0,0,0,0,0,1,0,0.00,0,0,0,0,,0,0,,0,,,,,,,,166,
516,P.J. Daniels\DaniP.00,BAL,,25,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,169,
517,James Dearth\DearJa00,NYJ,,31,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,121,
518,John Dekker\DekkJo00,PIT,,24,3,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,106,
519,Ken Dorsey\DorsKe00,CLE,,26,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,83,
520,Robert Douglas\DougRo00,NYG,,25,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,160,
521,Eddie Drummond\DrumEd00,KAN,WR,27,12,0,0,0,0,0,0,1,-3,-3.00,0,0,0,0,,0,2,1,0,,,,-2.3,-1.3,-2.3,,202,
522,Patrick Estes\EstePa00,SFO,,24,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,120,
523,Tim Euhus\EuhuTi00,ARI,,27,10,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,98,
524,Kevin Everett\EverKe00,BUF,TE,25,1,1,0,0,0,0,0,0,0,,0,1,1,3,3.00,0,0,,0,,,,1.3,1.3,0.8,,92,
525,Jimmy Farris\FarrJi00,WAS,,29,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,195,
526,Ryan Fitzpatrick\FitzRy00,CIN,,25,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,80,
527,Chris Francies\FranCh00,GNB,,25,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,187,
528,Quinton Ganther\GantQu00,TEN,,23,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,167,
529,Michael Gasperson\GaspMi00,PHI,,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,191,
530,Lionel Gates\GateLi00,TAM,,25,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,176,
531,Chas Gessner\GessCh00,TAM,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,182,
532,Ronnie Ghent\GhenRo00,NOR,,27,8,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,119,
533,Terry Glenn\GlenTe00,DAL,,33,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,181,
534,Nick Goings\GoinNi00,CAR,,29,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,1,0,,,,-2.0,-1.0,-2.0,,168,
535,Roy Hall\HallRo02,IND,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,190,
536,Mike Hass\HassMi00,CHI,,24,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,200,
537,Tim Hasselbeck\HassTi00,ARI,QB,29,1,0,0,0,0,0,0,1,-1,-1.00,0,0,0,0,,0,0,,0,,,,-0.1,-0.1,-0.1,,85,
538,Keith Heinrich\HeinKe00,TAM,,28,4,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,99,
539,Domenik Hixon\HixoDo00,2TM,WR,23,16,1,0,0,0,0,0,1,-8,-8.00,0,1,1,5,5.00,0,1,1,1,,,,4.7,5.7,4.2,,201,
540,Nathan Hodel\HodeNa20,ARI,,30,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,105,
541,Carlyle Holiday\HoliCa00,GNB,,26,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,192,
542,Oliver Hoyte\HoytOl20,DAL,RB,23,10,9,0,0,0,0,0,0,0,,0,4,1,2,2.00,0,0,,0,,,,1.2,1.2,0.7,,155,
543,Chad Jackson\JackCh00,NWE,,22,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,186,
544,Justin Jenkins\JenkJu00,BUF,,27,11,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,193,
545,Brian Jennings\JennBr00,SFO,,31,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,101,
546,Kyle Johnson\JohnKy00,DEN,,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,170,
547,Bennie Joppru\JoppBe00,SEA,,27,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,95,
548,Zak Keasey\KeasZa20,SFO,RB,25,13,0,0,0,0,0,0,2,4,2.00,0,0,0,0,,0,0,,0,,,,0.4,0.4,0.4,,153,
549,David Kirtman\KirtDa00,SEA,,24,6,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,158,
550,Kevin Kolb\KolbKe00,PHI,QB,23,1,0,0,0,0,0,0,3,-2,-0.67,0,0,0,0,,0,1,1,0,,,,-2.2,-1.2,-2.2,,86,
551,Nate Lawrie\LawrNa00,CIN,,26,3,2,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,114,
552,Mike Leach\LeacMi00,DEN,,31,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,116,
553,Jamie Martin\MartJa00,NOR,QB,37,3,0,0,0,0,0,0,3,-3,-1.00,0,0,0,0,,0,0,,0,,,,-0.3,-0.3,-0.3,,87,
554,Tim Massaquoi\MassTi20,BUF,,25,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,112,
555,Corey McIntyre\McInCo00,ATL,,28,14,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,4,
556,Matt Murphy\MurpMa00,BUF,,27,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,97,
557,Jake Nordin\NordJa00,BAL,,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,117,
558,Oren O'Neal\ONeaOr00,OAK,RB,24,14,1,0,0,0,0,0,0,0,,0,1,1,1,1.00,0,0,,0,,,,1.1,1.1,0.6,,157,
559,Chad Owens\OwenCh00,JAX,,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,1,1,0,,,,-2.0,-1.0,-2.0,,196,
560,Montell Owens\OwenMo01,JAX,,23,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,165,
561,Patrick Pass\PassPa00,NYG,,30,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,2,
562,Alvin Pearman\PearAl00,SEA,RB,25,3,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,0,0,,0,,,,1.1,1.1,0.6,,156,
563,Lousaka Polite\PoliLo00,CHI,,26,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,159,
564,Derek Rackley\RackDe00,SEA,,30,5,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,102,
565,Jamaica Rector\RectJa00,ARI,,26,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,194,
566,Kerry Reed\ReedKe00,MIA,,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,188,
567,Marcellus Rivers\RiveMa00,NWE,,29,3,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,,0,,,,,,,,100,
568,Jeff Robinson\RobiJe00,SEA,,37,3,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,110,
569,Jeff Rowe\RoweJe00,CIN,,23,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,84,
570,Bobby Sippio\SippBo00,KAN,,27,9,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,183,
571,Paul Smith\SmitPa00,DEN,,29,14,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,162,
572,Justin Snow\SnowJu00,IND,,31,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,103,
573,Stephen Spach\SpacSt00,NWE,,25,3,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,109,
574,Micheal Spurlock\SpurMi00,TAM,,24,7,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,,1,,,,6.0,6.0,6.0,,180,
575,Isaiah Stanback\StanIs00,DAL,,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,82,
576,Tony Stewart\StewTo00,OAK,,28,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,122,
577,Brad St. Louis\StLoBr00,CIN,,31,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,115,
578,Byron Storer\StorBy00,TAM,RB,23,9,3,0,0,0,0,0,0,0,,0,3,2,3,1.50,0,0,,0,,,,2.3,2.3,1.3,,154,
579,Boone Stutz\StutBo00,2TM,,25,12,0,0,0,0,0,0,0,0,,0,,0,0,,0,1,,0,,,,,,,,94,
580,Rudy Sylvan\SylvRu00,DET,,23,2,1,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,108,
581,Travis Taylor\TaylTr01,2TM,WR,29,2,0,0,0,0,0,0,0,0,,0,3,1,4,4.00,0,0,,0,,,,1.4,1.4,0.9,,179,
582,Tyler Thigpen\ThigTy00,KAN,QB,23,1,0,2,6,41,0,1,0,0,,0,0,0,0,,0,0,,0,,,,-0.4,0.6,0.6,,88,
583,Stacy Tutt\TuttSt00,NYJ,,25,9,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,,0,,,,,,,,161,
584,Lee Vickers\VickLe00,BAL,TE,26,9,2,0,0,0,0,0,0,0,,0,5,2,4,2.00,0,0,,0,,,,2.4,2.4,1.4,,91,
585,Danny Ware\WareDa00,NYG,,22,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,164,
586,Kelley Washington\WashKe00,NWE,,28,14,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,199,
587,Eric Weems\WeemEr00,ATL,,22,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,189,
588,Brandon Williams\WillBr01,2TM,,23,10,0,0,0,0,0,0,0,0,,0,1,0,0,,0,2,1,0,,,,-2.0,-1.0,-2.0,,185,
589,Harry Williams\WillHa20,HOU,,25,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,197,
590,George Wilson\WilsGe01,BUF,,26,12,9,0,0,0,0,0,0,0,,0,0,0,0,,0,1,1,2,,,,4.0,5.0,4.0,,198,
591,Quincy Wilson\WilsQu00,CIN,,26,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,163,
592,Anthony Wright\WrigAn00,NYG,QB,31,3,0,1,7,12,0,0,1,-1,-1.00,0,0,0,0,,0,0,,0,,,,0.4,0.4,0.4,,79,
593,Joe Zelenka\ZeleJo00,JAX,,31,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,111,
594,Charlie Frye\FryeCh00,CLE,QB,26,1,1,4,10,34,0,1,1,1,1.00,0,0,0,0,,0,0,,0,,,-1,-0.5,0.5,0.5,,89,
595,Matt Gutierrez\GutiMa00,NWE,QB,23,5,0,1,1,15,0,0,5,-13,-2.60,0,0,0,0,,0,0,,0,,,-1,-0.7,-0.7,-0.7,,90,
596,Billy Volek\VoleBi00,SDG,QB,31,5,0,3,10,6,0,1,11,-7,-0.64,0,0,0,0,,0,1,1,0,,,-2,-4.5,-2.5,-3.5,,91,
