"Pick","Name","Pos","Team","Overall","Std.","High","Low","Times","Pos_ADP"
11.04,"jacksonville defense","DEF","JAX",124.4,0,0.12,0.12,219,7
11.05,"anthony gonzalez","WR","FA",125.2,0,0.12,0.12,272,46
11.05,"jake delhomme","QB","HOU",125.4,0,0.12,0.12,137,17
11.06,"mike furrey","WR","WAS",126.4,0,0.12,0.12,217,47
11.07,"benjamin watson","TE","NE",127.2,0,0.12,0.12,361,12
11.08,"ronald curry","WR","LV",128.1,0,0.12,0.12,304,48
11.08,"leon washington","RB","TEN",128.3,0,0.12,0.12,414,46
11.08,"dede dorsey","RB","DET",128.3,0,0.12,0.12,21,47
11.09,"brandon jones","WR","FA",128.5,0,0.12,0.12,167,49
11.09,"priest holmes","RB","FA",128.7,0,0.12,0.12,28,48
11.09,"chris henry","RB","CIN",129.4,0,0.12,0.12,95,49
11.1,"pittsburgh defense","DEF","PIT",129.9,0,0.12,0.12,262,8
11.1,"alex smith","QB","WAS",130.4,0,0.12,0.12,323,18
12.01,"derrick mason","WR","NYJ",132.5,0,0.12,0.12,138,50
12.01,"adrian peterson","RB","FA",132.6,0,0.12,0.12,217,50
12.01,"philadelphia defense","DEF","PHI",132.9,0,0.12,0.12,158,9
12.03,"j.p. losman","QB","None",134.6,0,0.12,0.12,216,19
12.03,"jeff wilkins","PK","FA",135.1,0,0.12,0.12,149,2
12.06,"dominic rhodes","RB","None",138.1,0,0.12,0.12,255,51
12.06,"james jones","WR","LV",138.1,0,0.12,0.12,254,51
12.07,"dwayne jarrett","WR","CAR",138.9,0,0.12,0.12,88,52
12.07,"matt schaub","QB","ATL",139.2,0,0.12,0.12,292,20
12.08,"eddie kennison","WR","FA",140,0,0.12,0.12,103,53
12.09,"shayne graham","PK","FA",140.8,0,0.12,0.12,98,3
12.09,"nate kaeding","PK","LAC",141,0,0.12,0.12,180,4
12.09,"heath miller","TE","PIT",141.4,0,0.12,0.12,351,13
12.11,"wes welker","WR","DEN",143.2,0,0.12,0.12,191,54
12.12,"ted ginn jr","WR","CHI",144.1,0,0.12,0.12,122,55
13.01,"dallas defense","DEF","DAL",145.3,0,0.12,0.12,322,10
13.02,"kevin faulk","RB","NE",146.1,0,0.12,0.12,17,52
13.02,"troy williamson","WR","JAX",146.2,0,0.12,0.12,144,56
13.03,"chad pennington","QB","MIA",146.6,0,0.12,0.12,83,21
13.03,"dwayne bowe","WR","CLE",146.7,0,0.12,0.12,71,57
13.03,"dallas clark","TE","TB",146.9,0,0.12,0.12,250,14
13.03,"rex grossman","QB","FA",147.1,0,0.12,0.12,160,22
13.04,"robbie gould","PK","SF",147.6,0,0.12,0.12,153,5
13.04,"bobby wade","WR","KC",147.9,0,0.12,0.12,32,58
13.06,"trent green","QB","LAR",150.2,0,0.12,0.12,61,23
13.06,"michael bush","RB","FA",150.5,0,0.12,0.12,57,53
13.07,"jeff garcia","QB","LV",150.7,0,0.12,0.12,92,24
13.07,"owen daniels","TE","DEN",150.9,0,0.12,0.12,183,15
13.07,"jacoby jones","WR","BAL",151.3,0,0.12,0.12,171,59
13.08,"neil rackers","PK","FA",151.9,0,0.12,0.12,109,6
13.09,"carolina defense","DEF","CAR",152.6,0,0.12,0.12,150,11
13.09,"eric johnson","TE","FA",153.1,0,0.12,0.12,161,16
13.09,"t.j. duckett","RB","SEA",153.5,0,0.12,0.12,91,54
13.09,"greg olsen","TE","SEA",153.5,0,0.12,0.12,172,17
13.11,"robert meachem","WR","NO",154.5,0,0.12,0.12,96,60
13.11,"brian leonard","RB","FA",154.8,0,0.12,0.12,59,55
13.11,"maurice morris","RB","DET",155.1,0,0.12,0.12,119,56
13.11,"jason campbell","QB","CIN",155.4,0,0.12,0.12,57,25
13.12,"correll buckhalter","RB","DEN",155.6,0,0.12,0.12,140,57
13.12,"patrick crayton","WR","LAC",155.7,0,0.12,0.12,55,61
13.12,"najeh davenport","RB","IND",156.2,0,0.12,0.12,51,58
13.12,"amani toomer","WR","KC",156.3,0,0.12,0.12,69,62
13.12,"anthony thomas","RB","FA",156.3,0,0.12,0.12,20,59
13.12,"arnaz battle","WR","PIT",156.4,0,0.12,0.12,35,63
14.01,"mike anderson","RB","FA",156.5,0,0.12,0.12,24,60
14.01,"michael jenkins","WR","TB",157.1,0,0.12,0.12,20,64
14.02,"chris perry","RB","CIN",157.9,0,0.12,0.12,17,61
14.02,"michael pittman","RB","DEN",158,0,0.12,0.12,44,62
14.02,"michael clayton","WR","TB",158.3,0,0.12,0.12,57,65
14.03,"stephen gostkowski","PK","NE",158.6,0,0.12,0.12,205,7
14.03,"sammy morris","RB","NE",159.3,0,0.12,0.12,19,63
14.03,"nate burleson","WR","CLE",159.5,0,0.12,0.12,48,66
14.04,"ron dayne","RB","FA",159.7,0,0.12,0.12,74,64
14.04,"bo scaife","TE","TEN",159.7,0,0.12,0.12,34,18
14.04,"minnesota defense","DEF","MIN",160.2,0,0.12,0.12,210,12
14.04,"byron leftwich","QB","PIT",160.4,0,0.12,0.12,23,26
14.05,"steve mcnair","QB","FA",160.5,0,0.12,0.12,53,27
14.05,"brandon stokley","WR","BAL",160.6,0,0.12,0.12,66,67
14.05,"oakland defense","DEF","LV",160.8,0,0.12,0.12,99,13
14.05,"reggie williams","WR","SEA",161.5,0,0.12,0.12,55,68
14.06,"marty booker","WR","ATL",161.6,0,0.12,0.12,70,69
14.06,"seattle defense","DEF","SEA",162,0,0.12,0.12,32,14
14.06,"chris henry","WR","CIN",162.2,0,0.12,0.12,80,70
14.06,"david akers","PK","FA",162.5,0,0.12,0.12,156,8
14.07,"keary colbert","WR","DET",162.5,0,0.12,0.12,16,71
14.07,"ernest wilford","WR","MIA",162.5,0,0.12,0.12,31,72
14.07,"san francisco defense","DEF","SF",162.8,0,0.12,0.12,60,15
14.07,"daunte culpepper","QB","DET",163.1,0,0.12,0.12,85,28
14.08,"green bay defense","DEF","GB",163.6,0,0.12,0.12,74,16
14.08,"brady quinn","QB","FA",163.7,0,0.12,0.12,26,29
14.09,"olindo mare","PK","CAR",165.3,0,0.12,0.12,256,9
14.09,"tony hunt","RB","FA",165.4,0,0.12,0.12,31,65
14.1,"jason elam","PK","ATL",165.5,0,0.12,0.12,162,10
14.12,"joey harrington","QB","NO",167.6,0,0.12,0.12,49,30
14.12,"matt stover","PK","IND",167.6,0,0.12,0.12,151,11
14.12,"ryan longwell","PK","FA",168.4,0,0.12,0.12,17,12
15.02,"josh brown","PK","NYG",170.2,0,0.12,0.12,150,13
15.03,"jason hanson","PK","DET",170.5,0,0.12,0.12,19,14
