#,Pick,Name,Pos,Team,Overall,Std. Def,High,Low,Times Drafted
145,12.05,Derek Carr,QB,LV,137.1,12,8.03,15.02,188
146,12.08,Denver Defense,DEF,DEN,139.7,10.2,10.01,14.12,183
147,12.08,DeVante Parker,WR,MIA,140.4,13.5,7.11,15.06,162
148,12.09,Doug Martin,RB,LV,141.1,13.9,9.03,15.09,236
149,12.1,Matt Breida,RB,SF,141.7,22.5,1.01,15.12,503
150,12.11,Devontae Booker,RB,DEN,142.8,15.3,8.06,15.06,283
151,13.01,Greg Zuerlein,PK,LAR,144.5,13.7,1.09,14.05,656
152,13.01,New Orleans Defense,DEF,NO,145.5,11.5,11.01,15.12,199
153,13.02,Chris Godwin,WR,TB,146.2,17.5,6.02,15.12,228
154,13.03,Tyler Eifert,TE,CIN,146.9,19.9,6.01,16.04,521
155,13.03,Stephen Gostkowski,PK,NE,147,13.2,6.06,14.04,362
156,13.03,Jordan Wilkins,RB,IND,147.4,15.8,9.04,15.12,360
157,13.05,Mohamed Sanu,WR,ATL,149.3,31.6,6.1,19.01,28
158,13.06,Anthony Miller,WR,CHI,150.4,13.7,10.02,15.11,177
159,13.07,Rob Kelley,RB,WAS,151.2,19.5,8.06,16.08,101
160,13.08,Justin Tucker,PK,BAL,151.5,11.2,4.01,14.07,216
161,13.08,Geronimo Allison,WR,GB,151.7,13.7,8.01,15.06,223
162,13.08,Dak Prescott,QB,DAL,151.7,16.5,2.12,16.06,191
163,13.1,O.J. Howard,TE,TB,153.6,20.4,7.11,16.02,271
164,13.1,John Ross,WR,CIN,154.2,17.4,5.1,15.12,298
165,13.11,Jameis Winston,QB,TB,154.8,13.7,9.01,15.11,178
166,13.11,James Conner,RB,PIT,154.9,17.2,5.03,16.06,320
167,13.11,Giovani Bernard,RB,CIN,155.3,17.8,8.1,16.05,252
168,13.12,Eric Ebron,TE,IND,155.7,19.3,9.05,16.02,87
169,13.12,Donta Foreman,RB,HOU,155.8,19.9,8.02,16.03,92
170,13.12,Eli Manning,QB,NYG,156.1,16.1,3.08,15.12,163
171,14.01,Josh Doctson,WR,WAS,156.5,15.2,9.06,16.03,160
172,14.01,Austin Hooper,TE,ATL,157.1,17.5,10.04,15.12,35
173,14.02,Benjamin Watson,TE,NO,157.7,20.2,10.07,15.12,26
174,14.02,Donte Moncrief,WR,JAX,158.4,18.7,10.03,16.1,34
175,14.02,Tyrod Taylor,QB,CLE,158.4,32.3,1.11,16.03,36
176,14.03,Carolina Defense,DEF,CAR,158.7,11.6,10.11,15.12,266
177,14.03,TJ Yeldon,RB,JAX,159.1,16.9,11.06,15.12,67
178,14.03,Mitch Trubisky,QB,CHI,159.2,14.2,9.07,16.06,86
179,14.04,Wil Lutz,PK,NO,159.9,5,12.03,15.11,136
180,14.04,Dede Westbrook,WR,JAX,160.1,18.4,1.11,15.11,144
181,14.04,Austin Ekeler,RB,LAC,160.3,16.8,9.08,16.1,136
182,14.04,Andy Dalton,QB,CIN,160.4,15.1,10.05,15.12,68
183,14.05,Chicago Defense,DEF,CHI,160.7,12.8,11.05,17.1,158
184,14.05,John Kelly,RB,LAR,161.3,13.7,12.03,16.08,35
185,14.06,Martavis Bryant,WR,LV,162,13,11.04,15.12,115
186,14.06,Frank Gore,RB,MIA,162.3,17.5,9.1,16.1,66
187,14.07,Danny Amendola,WR,MIA,162.6,16.7,9.03,16.02,57
188,14.07,Cleveland Defense,DEF,CLE,162.8,29.1,1.12,16.1,32
189,14.07,New England Defense,DEF,NE,162.8,11.8,7.1,15.12,288
