#,Pick,Name,Pos,Team,Overall,Std. Dev,High,Low,Times Drafted
50,5.01,Jarvis Landry,WR,MIA,48.8,5.1,3.12,6.11,271
51,5.02,Brandon Marshall,WR,NYJ,50.4,7.2,1.01,6.07,252
52,5.03,Drew Brees,QB,NO,50.8,9.5,2.11,7.04,185
53,5.03,Andre Ellington,RB,ARI,50.8,6.5,3.03,6.06,328
54,5.03,Greg Olsen,TE,CAR,51,5.4,4.01,6.05,223
55,5.06,Keenan Allen,WR,LAC,53.8,6.4,2.11,6.1,320
56,5.07,Todd Gurley,RB,LAR,54.9,5.4,3.08,6.11,262
57,5.07,Julian Edelman,WR,NE,55.1,6.4,4.01,6.12,290
58,5.07,Travis Kelce,TE,KC,55.4,6.5,3.1,6.12,212
59,5.1,TJ Yeldon,RB,JAX,58.1,6.4,2.12,7.06,294
60,5.11,Nelson Agholor,WR,PHI,58.9,5.9,4.02,7.01,282
61,5.11,Ben Roethlisberger,QB,PIT,59.1,7,3.05,7.1,233
62,6.01,LeGarrette Blount,RB,NE,60.5,6.8,3.03,7.08,324
63,6.01,Sammy Watkins,WR,None,60.7,6.8,4.01,7.03,254
64,6.02,Russell Wilson,QB,SEA,61.8,8.5,2.1,7.1,214
65,6.02,Tom Brady,QB,NE,62.3,10.5,1.01,7.12,268
66,6.03,Allen Robinson,WR,JAX,62.6,5.9,4.1,7.09,290
67,6.05,C.J. Spiller,RB,NO,64.7,7.7,4.04,8.03,239
68,6.06,Martellus Bennett,TE,CHI,66,5.9,4.08,7.11,178
69,6.07,Martavis Bryant,WR,PIT,67.1,6.1,4.11,8.03,220
70,6.07,Rashad Jennings,RB,NYG,67.3,8,4.09,8.04,271
71,6.09,Charles Johnson,WR,MIN,69.5,6.5,5.04,8.04,229
72,6.11,DeSean Jackson,WR,WAS,71,7.1,4.05,8.08,228
73,7.01,Ryan Mathews,RB,PHI,73,9.3,2.07,8.1,204
74,7.01,John Brown,WR,ARI,73.4,7,4.12,8.06,291
75,7.02,Joique Bell,RB,DET,74.3,9,4.1,8.11,240
76,7.03,Vincent Jackson,WR,TB,74.7,7.7,4.12,8.08,229
77,7.03,Matt Ryan,QB,ATL,75.4,8.6,5.02,9.03,239
78,7.04,Jordan Cameron,TE,MIA,76.3,8.6,4.11,8.11,124
79,7.06,Tony Romo,QB,DAL,77.9,7.7,5.03,9.04,208
80,7.07,Steve Smith,WR,BAL,78.8,7.8,5.04,8.12,236
81,7.07,Alfred Blue,RB,HOU,79.2,8.5,5.04,8.11,192
82,7.08,Sam Bradford,QB,PHI,79.8,9.4,4.1,9.11,247
83,7.08,Darren McFadden,RB,DAL,80.5,9.9,4.1,9.01,177
84,7.11,Isaiah Crowell,RB,CLE,82.7,8.3,4.08,9.06,317
85,7.11,Giovani Bernard,RB,CIN,82.8,9.2,3.06,9.05,189
86,7.11,Owen Daniels,TE,DEN,83.4,10.4,5.06,10.08,116
87,7.12,Tevin Coleman,RB,ATL,83.6,7.8,5.08,9.06,274
88,7.12,Victor Cruz,WR,NYG,84,9.9,4.11,9.07,169
89,8.03,Mike Wallace,WR,MIN,86.8,8.5,4.11,9.1,219
90,8.04,Matthew Stafford,QB,DET,87.8,9.5,3.04,10.01,239
91,8.05,Jason Witten,TE,DAL,88.5,12.2,5.01,11.04,94
92,8.05,Larry Fitzgerald,WR,ARI,88.9,8,6.04,9.09,182
93,8.07,Tre Mason,RB,LAR,91.2,8.1,6.1,10.01,143
94,8.08,Ryan Tannehill,QB,MIA,91.6,9.2,6.05,10.09,255
95,8.08,Markus Wheaton,WR,PIT,92,8.5,6.07,10.1,180
96,8.09,Danny Woodhead,RB,LAC,92.9,7.8,5.11,10.01,147
97,8.1,Devin Funchess,WR,CAR,94.2,8.8,5.12,10.03,183
98,8.11,Tyler Eifert,TE,CIN,95.1,12.2,6.09,12.01,127
99,8.11,Shane Vereen,RB,NYG,95.2,9.7,6.04,10.07,124
