Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA?,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
111,Dansby Swanson\swansda01,25,ATL,NL,127,545,483,77,121,26,3,17,65,10,5,51,124,.251,.325,.422,.748,89,204,7,5,1,5,2,*6/H
112,Kyle Schwarber*\schwaky01,26,CHC,NL,155,610,529,82,132,29,3,38,92,2,3,70,156,.250,.339,.531,.871,120,281,6,5,0,6,5,*7H/D2
113,Ryan McMahon*\mcmahry01,24,COL,NL,141,539,480,70,120,22,1,24,83,5,1,56,160,.250,.329,.450,.779,87,216,14,1,1,1,1,*453H
114,LgAvg per 600 PA,,,,200,600,536,75,134,27,2,22,72,7,3,51,138,.250,.321,.432,.752,,232,11,6,2,4,2,
115,Matt Chapman\chapmma01,26,OAK,AL,156,670,583,102,145,36,3,36,91,1,1,73,147,.249,.342,.506,.848,126,295,12,11,0,3,0,*5
116,Joc Pederson*\pederjo01,27,LAD,NL,149,514,450,83,112,16,3,36,74,1,1,50,111,.249,.339,.538,.876,127,242,4,12,0,2,2,*79H3/8D
117,Franmil Reyes\reyesfr01,23,TOT,MLB,150,548,494,69,123,19,0,37,81,0,0,47,156,.249,.310,.512,.822,112,253,15,0,0,7,1,9DH
118,Yasmani Grandal#\grandya01,30,MIL,NL,153,632,513,79,126,26,2,28,77,5,1,109,139,.246,.380,.468,.848,119,240,16,5,0,5,2,*23/HD
119,Jason Kipnis*\kipnija01,32,CLE,AL,121,511,458,52,112,23,1,17,65,7,2,40,88,.245,.304,.410,.715,84,188,7,2,5,6,2,*4/D
120,Renato Nunez\nunezre01,25,BAL,AL,151,599,541,72,132,24,0,31,90,1,1,44,143,.244,.311,.460,.771,101,249,9,10,0,4,1,*D3H/57
121,Albert Pujols\pujolal01,39,LAA,AL,131,545,491,55,120,22,0,23,93,3,0,43,68,.244,.305,.430,.734,94,211,21,3,0,8,1,3D/H5
122,Marcell Ozuna\ozunama01,28,STL,NL,130,549,485,80,117,23,1,29,89,12,2,62,114,.241,.328,.472,.800,107,229,21,1,0,1,2,*7/H
123,Dexter Fowler#\fowlede01,33,STL,NL,150,574,487,69,116,24,1,19,67,8,5,74,142,.238,.346,.409,.754,98,199,6,8,1,4,1,*98H
124,Brandon Belt*\beltbr01,31,SFG,NL,156,616,526,76,123,32,3,17,57,4,3,83,127,.234,.339,.403,.742,98,212,6,3,0,4,3,*3H7/D9
125,Paul DeJong\dejonpa01,25,STL,NL,159,664,583,97,136,31,1,30,78,9,5,62,149,.233,.318,.444,.762,98,259,15,13,0,6,1,*6/H
126,Kole Calhoun*\calhoko01,31,LAA,AL,152,632,552,92,128,29,1,33,74,4,1,70,162,.232,.325,.467,.792,108,258,14,7,0,2,7,*9/H8
127,Randal Grichuk\grichra01,27,TOR,AL,151,628,586,75,136,29,5,31,80,2,1,35,163,.232,.280,.457,.738,93,268,20,5,0,2,0,*98D/H
128,Brandon Crawford*\crawfbr01,32,SFG,NL,147,560,500,58,114,24,2,11,59,3,2,53,117,.228,.304,.350,.654,75,175,10,3,0,4,5,*6/H
129,Mallex Smith*\smithma05,26,SEA,AL,134,566,510,70,116,19,9,6,37,46,9,42,141,.227,.300,.335,.635,74,171,7,11,2,1,0,*89/7HD
130,Rhys Hoskins\hoskirh01,26,PHI,NL,160,705,570,86,129,33,5,29,85,2,2,116,173,.226,.364,.454,.819,110,259,10,11,0,6,6,*3/D
131,Jackie Bradley Jr.*\bradlja02,29,BOS,AL,147,567,494,69,111,28,3,21,62,8,6,56,155,.225,.317,.421,.738,90,208,6,12,3,2,3,*8/H9
132,Orlando Arcia\arciaor01,24,MIL,NL,152,546,494,51,110,16,1,15,59,8,5,43,109,.223,.283,.350,.633,64,173,15,1,2,6,5,*6/H
133,Khris Davis\daviskh01,31,OAK,AL,133,533,481,61,106,11,0,23,73,0,0,47,146,.220,.293,.387,.679,82,186,11,3,0,2,3,*D/H7
134,Jurickson Profar#\profaju01,26,OAK,AL,139,518,459,65,100,24,2,20,67,9,1,48,75,.218,.301,.410,.711,90,188,12,8,0,3,2,*4H/D73
135,Daniel Vogelbach*\vogelda01,26,SEA,AL,144,558,462,73,96,17,0,30,76,0,0,92,149,.208,.341,.439,.780,112,203,4,2,0,2,2,D3H
136,Rougned Odor*\odorro01,25,TEX,AL,145,581,522,77,107,30,1,30,93,11,9,52,178,.205,.283,.439,.721,79,229,4,5,1,1,2,*4/HD
